Company Name,Address,links,links-href,Number ,Number1,Number2,Number3,Number4,Cell No,Telephone No
Prime Finance First Mutual Fund,"Green City Edge (4th Floor), 89, Kakrail, Dhaka-1000.",1STPRIMFMF,https://dsebd.org/displayCompany.php?name=1STPRIMFMF,1970973681,,,,,+8801970973654,
First Janata Bank Mutual Fund,"Sky View Henolux Center, Office No: C-1, 1st Floor, 3/1, Purana Paltan, Dhaka-1000",1JANATAMF,https://dsebd.org/displayCompany.php?name=1JANATAMF,01302-399597,,,,,+8801711220988,
Zeal Bangla Sugar Mills Ltd.,"Bangladesh Sugar and Food Industries Corporation, Chini Shilpa Bhaban, Share office (5th floor), 3 Dilkusha C/A, Dhaka.",ZEALBANGLA,https://dsebd.org/displayCompany.php?name=ZEALBANGLA,9515669,,,,,+8801749237526,
Zahintex Industries Limited,"Vogra Bypass Mor, Bason, Gazipur City Corporation, Gazipur-1704.",ZAHINTEX,https://dsebd.org/displayCompany.php?name=ZAHINTEX,8932813,,,,,,
Zaheen Spinning PLC.,"House No. # 59/A, Road No. 12/A (6th & 7th Floor), Dhanmondi, Dhaka-1209.",ZAHEENSPIN,https://dsebd.org/displayCompany.php?name=ZAHEENSPIN,-8182786,,,,,+8801705430311,
Yeakin Polymer Limited,"AWR- Usman Tower (3rd Floor), House No-35, Road No-133, Gulshan North Avenue, Gulshan-1, Dhaka-1212.",YPL,https://dsebd.org/displayCompany.php?name=YPL,+88 02 51000207,,,,,+8801914882942,
Western Marine Shipyard Limited,"Amin Future Park (7th floor),rn1440/A Strand Road, Chittagong-4100",WMSHIPYARD,https://dsebd.org/displayCompany.php?name=WMSHIPYARD,+880 31 253 0035-7,,,,,,
Wata Chemicals Limited,"17/B, Monipuripara, Sangshad Avenue, Dhaka-1215",WATACHEM,https://dsebd.org/displayCompany.php?name=WATACHEM,58152001,,,,,+8801727681811,
Walton Hi-Tech Industries PLC,"Plot # 1088, Block # I, Road # Sabrina Sobhan 5th Avenue, Bashundhara, Vatara, Dhaka-1229.",WALTONHIL,https://dsebd.org/displayCompany.php?name=WALTONHIL,8254051,,,,,,
VFS Thread Dyeing Limited,"House # 257 (3rd Floor),Road # 03, Baridhara DOHS, Dhaka -1206",VFSTDL,https://dsebd.org/displayCompany.php?name=VFSTDL,+88 02 8419542,,,,,,+88028419542
Vanguard AML Rupali Bank Balanced Fund,"Symphony (Level 6), Plot: SE (F) 9, Road: 142, South Avenue, Gulshan-1, Dhaka-1212",VAMLRBBF,https://dsebd.org/displayCompany.php?name=VAMLRBBF,+88 02 2222 80862,,,,,+8801841082262,
Vanguard AML BD Finance Mutual Fund One,"Symphony (Level 6), Plot:SE (F) 9, Road: 142, South Avenue, Gulshan-1, Dhaka-1212",VAMLBDMF1,https://dsebd.org/displayCompany.php?name=VAMLBDMF1,+88 02 2222 80862,,,,,+8801841082262,
Uttara Finance and Investments Limited,"Head Office: Jiban Bima Tower (6th Floor), 10, Dilkusha C/A,  Dhaka - 1000.",UTTARAFIN,https://dsebd.org/displayCompany.php?name=UTTARAFIN,'+880-2-41025093-97,,,,,+8801785600235,+8802817028185
Uttara Bank PLC.,"Uttara Bank Bhaban (1st floor), 47 Shahid Bir Uttam Ashfaqus Samad Sarak, Motijheel C/A, Dhaka-1000",UTTARABANK,https://dsebd.org/displayCompany.php?name=UTTARABANK,9552114,,,,,+8801991144014,
Usmania Glass Sheet Factory Limited,"Kalurghat I/A, Chandgaon, Chattogram - 4212",USMANIAGL,https://dsebd.org/displayCompany.php?name=USMANIAGL,(88031) 670430,,,,,+8801818737479,
United Power Generation & Distribution Company Ltd.,"United House, Madani Avenue, United City, Dhaka-1212.",UPGDCL,https://dsebd.org/displayCompany.php?name=UPGDCL,9666700900,,,,,,
