Company Name,Address,links,links-href,Number ,Number1,Number2,Number3,Number4,Cell No,Telephone No
Prime Finance First Mutual Fund,"Green City Edge (4th Floor), 89, Kakrail, Dhaka-1000.",1STPRIMFMF,https://dsebd.org/displayCompany.php?name=1STPRIMFMF,1970973681,,,,,+88 01970973654,88028300401
First Janata Bank Mutual Fund,"Sky View Henolux Center, Office No: C-1, 1st Floor, 3/1, Purana Paltan, Dhaka-1000",1JANATAMF,https://dsebd.org/displayCompany.php?name=1JANATAMF,01302-399597, 01309-402782,,,,+88 01711 220 988,
Zeal Bangla Sugar Mills Ltd.,"Bangladesh Sugar and Food Industries Corporation, Chini Shilpa Bhaban, Share office (5th floor), 3 Dilkusha C/A, Dhaka.",ZEALBANGLA,https://dsebd.org/displayCompany.php?name=ZEALBANGLA,9515669,9565868,,,,+88 01749 237 526,9515669
Zahintex Industries Limited,"Vogra Bypass Mor, Bason, Gazipur City Corporation, Gazipur-1704.",ZAHINTEX,https://dsebd.org/displayCompany.php?name=ZAHINTEX,8932813,8913802,8913826, 8932801-2,,,
Zaheen Spinning PLC.,"House No. # 59/A, Road No. 12/A (6th & 7th Floor), Dhanmondi, Dhaka-1209.",ZAHEENSPIN,https://dsebd.org/displayCompany.php?name=ZAHEENSPIN,-8182786,,,,,+88 01705 430 311,-8182720
Yeakin Polymer Limited,"AWR- Usman Tower (3rd Floor), House No-35, Road No-133, Gulshan North Avenue, Gulshan-1, Dhaka-1212.",YPL,https://dsebd.org/displayCompany.php?name=YPL,+88 02 51000207,,,,,+88 01914882942,+88 02 51000207 Ext-805
Western Marine Shipyard Limited,"Amin Future Park (7th floor),rn1440/A Strand Road, Chittagong-4100",WMSHIPYARD,https://dsebd.org/displayCompany.php?name=WMSHIPYARD,+880 31 253 0035-7,2513056,,,,,
Wata Chemicals Limited,"17/B, Monipuripara, Sangshad Avenue, Dhaka-1215",WATACHEM,https://dsebd.org/displayCompany.php?name=WATACHEM,58152001,8155206,,,,+88 01727 681 811,
Walton Hi-Tech Industries PLC,"Plot # 1088, Block # I, Road # Sabrina Sobhan 5th Avenue, Bashundhara, Vatara, Dhaka-1229.",WALTONHIL,https://dsebd.org/displayCompany.php?name=WALTONHIL,8254051,,,,,1678863444,8254051
VFS Thread Dyeing Limited,"House # 257 (3rd Floor),Road # 03, Baridhara DOHS, Dhaka -1206",VFSTDL,https://dsebd.org/displayCompany.php?name=VFSTDL,+88 02 8419542,,,,,1993339199,+88 02 8419542
Vanguard AML Rupali Bank Balanced Fund,"Symphony (Level 6), Plot: SE (F) 9, Road: 142, South Avenue, Gulshan-1, Dhaka-1212",VAMLRBBF,https://dsebd.org/displayCompany.php?name=VAMLRBBF,+88 02 2222 80862,,,,,+88 01841 082 262,
