"",company_name,website,Email,phone_no_0,phone_no_1,phone_no_2,phone_no_3,phone_no_4,phone_no_5,phone_no_6,phone_no_7,phone_no_8,phone_no_9
0,Aakash Real Estate Ltd.,http://www.aakashgroupbd.com/,info@aakashgroupbd.com,22222743304,8801819254545,"","","","","","","",""
1,Aapon Builders Ltd.,http://www.aaponbuildersbd.com/,engr.tareque@gmail.com,8801971077989,8801720318766,"","","","","","","",""
2,AB Constructions Limited,http://www.abcl.com.bd/,"",880258810410,8801810035300,"","","","","","","",""
3,ABC Real Estate Limited,http://www.abcreal.com.bd/,info@abcreal.com.bd,8802222275623,8802222276349,8802222276373,"","","","","","",""
4,Abed Holdings Ltd.,http://www.abedholdingsltd.com/,ahldhaka@gmail.com,223390536,"","","","","","","","",""
5,Abiding Development & Holdings Limited.,"",skirasel@gmail.com,88029341971,9355430,8801777786700,"","","","","","",""
6,ABZ Properties Ltd.,http://www.abzpropertiesltd.com/,info@abzpropertiesltd.com,58817998,58812189,8801713012094,"","","","","","",""
7,Accord Holdings Ltd.,http://www.accordgroup-bd.com/,shahjahanmohiuddin@gmail.com,8801841424348,"","","","","","","","",""
8,Achieve Corporation (Pvt.) Ltd.,http://www.achievecorporation.net/,achievecorporation@gmail.com,8953073,8923493,"","","","","","","",""
9,Acme Technologies Ltd.,http://www.acmetechltd.com/,sales.team@acmetechltd.com,88028080570,8801704118050,"","","","","","","",""
10,ACTS Asset Ltd.,http://www.actsasset.com/,mail@actsasset.com,8809642224469,8801974131827,"","","","","","","",""
11,Address Developers And Construction Ltd.,"",addressdeveloperes1056@gmail.com,8801711436031,880241001352,41001353,"","","","","","",""
12,Adept Consultants Limited,http://www.bd.adept.com/,adept1067@gmail.com,88028416274,8416275,"","","","","","","",""
13,Adhunik Builders Ltd.,"",adhunik.builders@yahoo.com,8801710050168,8801977612142,8801777816927,"","","","","","",""
14,Adore Design & Development Ltd.,http://www.adoreddl.com/,adoreddl@yahoo.com,4477700458,66623031272,9361043,9355237,"","","","","",""
15,Advance Homes (Pvt.) Ltd.,http://www.advancehomesbd.com/,advance_house@yahoo.com,8802884534,8854427,8401140,"","","","","","",""
16,Advanced Development Technologies Ltd.,http://www.advanced-bd.com/,"",8802988474546,8811923,"",9861434,"",8821749,8821988,"","",""
